"email","first_name","last_name","global_role","course_code","course_role"
"demo.student001@test.com","Demo001","Teston001","student","TEST101","student"
"demo.student002@test.com","Demo002","Datason002","student","TEST101","student"
"demo.student003@test.com","Demo003","Dummyfield003","student","TEST101","student"
"demo.student004@test.com","Demo004","Studentberg004","student","TEST101","student"
"demo.student005@test.com","Demo005","Pupilton005","student","TEST101","student"
"demo.student006@test.com","Demo006","Samplevik006","student","TEST101","student"
"demo.student007@test.com","Demo007","Mockheim007","student","TEST101","student"
"demo.student008@test.com","Demo008","Trialsen008","student","TEST101","student"
"demo.student009@test.com","Demo009","Examstad009","student","TEST101","student"
"demo.student010@test.com","Demo010","Learnset010","student","TEST101","student"
"demo.student011@test.com","Demo011","Teston011","student","TEST101","student"
"demo.student012@test.com","Demo012","Datason012","student","TEST101","student"
"demo.student013@test.com","Demo013","Dummyfield013","student","TEST101","student"
"demo.student014@test.com","Demo014","Studentberg014","student","TEST101","student"
"demo.student015@test.com","Demo015","Pupilton015","student","TEST101","student"
"demo.student016@test.com","Demo016","Samplevik016","student","TEST101","student"
"demo.student017@test.com","Demo017","Mockheim017","student","TEST101","student"
"demo.student018@test.com","Demo018","Trialsen018","student","TEST101","student"
"demo.student019@test.com","Demo019","Examstad019","student","TEST101","student"
"demo.student020@test.com","Demo020","Learnset020","student","TEST101","student"
"demo.student021@test.com","Demo021","Teston021","student","TEST101","student"
"demo.student022@test.com","Demo022","Datason022","student","TEST101","student"
"demo.student023@test.com","Demo023","Dummyfield023","student","TEST101","student"
"demo.student024@test.com","Demo024","Studentberg024","student","TEST101","student"
"demo.student025@test.com","Demo025","Pupilton025","student","TEST101","student"
"demo.student026@test.com","Demo026","Samplevik026","student","TEST101","student"
"demo.student027@test.com","Demo027","Mockheim027","student","TEST101","student"
"demo.student028@test.com","Demo028","Trialsen028","student","TEST101","student"
"demo.student029@test.com","Demo029","Examstad029","student","TEST101","student"
"demo.student030@test.com","Demo030","Learnset030","student","TEST101","student"
"demo.student031@test.com","Demo031","Teston031","student","TEST101","student"
"demo.student032@test.com","Demo032","Datason032","student","TEST101","student"
"demo.student033@test.com","Demo033","Dummyfield033","student","TEST101","student"
"demo.student034@test.com","Demo034","Studentberg034","student","TEST101","student"
"demo.student035@test.com","Demo035","Pupilton035","student","TEST101","student"
"demo.student036@test.com","Demo036","Samplevik036","student","TEST101","student"
"demo.student037@test.com","Demo037","Mockheim037","student","TEST101","student"
